,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
24744,694,Russell Square                ,621,Kew Gardens                   ,40,16
24745,694,Russell Square                ,622,Kilburn                       ,0,19
24746,694,Russell Square                ,623,Kilburn Park                  ,2,1
24747,694,Russell Square                ,625,King's Cross St. Pancras      ,50,482
24748,694,Russell Square                ,626,Knightsbridge                 ,31,122
24749,694,Russell Square                ,627,Ladbroke Grove                ,0,12
24751,694,Russell Square                ,629,Lancaster Gate                ,0,21
24752,694,Russell Square                ,631,Leicester Square              ,45,179
24755,694,Russell Square                ,634,Liverpool Street              ,52,105
24756,694,Russell Square                ,635,London Bridge                 ,24,61
24757,694,Russell Square                ,637,Maida Vale                    ,2,24
24758,694,Russell Square                ,638,Manor House                   ,0,66
24759,694,Russell Square                ,640,Marble Arch                   ,23,19
24760,694,Russell Square                ,641,Marylebone                    ,15,0
24761,694,Russell Square                ,642,Mile End                      ,4,23
24762,694,Russell Square                ,643,Mill Hill East                ,0,52
24763,694,Russell Square                ,645,Moorgate                      ,7,0
24764,694,Russell Square                ,647,Morden                        ,0,4
24766,694,Russell Square                ,650,Newbury Park                  ,0,3
24768,694,Russell Square                ,654,North Ealing                  ,1,20
24770,694,Russell Square                ,656,North Harrow                  ,0,6
24771,694,Russell Square                ,655,Northfields                   ,0,25
24772,694,Russell Square                ,657,Northolt                      ,0,26
24773,694,Russell Square                ,660,Northwick Park                ,1,0
24774,694,Russell Square                ,661,Northwood                     ,0,7
24775,694,Russell Square                ,662,Northwood Hills               ,0,1
24776,694,Russell Square                ,663,Notting Hill Gate             ,13,17
24777,694,Russell Square                ,664,Oakwood                       ,1,5
24778,694,Russell Square                ,665,Old Street                    ,33,5
24779,694,Russell Square                ,667,Osterley                      ,3,9
24780,694,Russell Square                ,668,Oval                          ,1,8
24781,694,Russell Square                ,669,Oxford Circus                 ,0,60
24782,694,Russell Square                ,670,Paddington                    ,20,97
24783,694,Russell Square                ,671,Park Royal                    ,5,17
24784,694,Russell Square                ,672,Parsons Green                 ,0,26
24786,694,Russell Square                ,674,Piccadilly Circus             ,74,183
24787,694,Russell Square                ,776,Pimlico                       ,29,0
24788,694,Russell Square                ,675,Pinner                        ,0,1
24789,694,Russell Square                ,678,Putney Bridge                 ,0,7
24790,694,Russell Square                ,680,Queen's Park                  ,3,23
24791,694,Russell Square                ,679,Queensbury                    ,0,3
24792,694,Russell Square                ,682,Ravenscourt Park              ,7,3
24794,694,Russell Square                ,684,Redbridge                     ,0,81
24795,694,Russell Square                ,685,Regent's Park                 ,2,0
24796,694,Russell Square                ,686,Richmond                      ,33,16
24797,694,Russell Square                ,687,Rickmansworth                 ,0,20
24798,694,Russell Square                ,698,Seven Sisters                 ,22,168
24799,694,Russell Square                ,700,Shepherd's Bush (Cen)         ,0,22
24800,694,Russell Square                ,702,Sloane Square                 ,9,18
24801,694,Russell Square                ,704,South Ealing                  ,5,25
24802,694,Russell Square                ,707,South Harrow                  ,0,1
24803,694,Russell Square                ,708,South Kensington              ,100,141
24805,694,Russell Square                ,712,South Woodford                ,1,0
24806,694,Russell Square                ,705,Southfields                   ,10,27
24807,694,Russell Square                ,706,Southgate                     ,5,86
24808,694,Russell Square                ,695,St. James's Park              ,0,4
24810,694,Russell Square                ,697,St. Paul's                    ,40,10
24811,694,Russell Square                ,713,Stamford Brook                ,0,17
24812,694,Russell Square                ,716,Stockwell                     ,0,19
24813,694,Russell Square                ,717,Stonebridge Park              ,0,21
24814,694,Russell Square                ,719,Stratford                     ,0,51
24815,694,Russell Square                ,720,Sudbury Hill                  ,0,8
24816,694,Russell Square                ,721,Sudbury Town                  ,0,20
24818,694,Russell Square                ,726,Tooting Bec                   ,0,2
24819,694,Russell Square                ,727,Tooting Broadway              ,0,16
24820,694,Russell Square                ,728,Tottenham Court Road          ,0,22
24821,694,Russell Square                ,729,Tottenham Hale                ,23,163
24822,694,Russell Square                ,730,Totteridge & Whetstone        ,0,1
24823,694,Russell Square                ,731,Tower Hill                    ,20,18
24824,694,Russell Square                ,733,Tufnell Park                  ,0,3
24825,694,Russell Square                ,734,Turnham Green                 ,10,40
24826,694,Russell Square                ,735,Turnpike Lane                 ,0,75
24827,694,Russell Square                ,738,Upney                         ,5,0
24829,694,Russell Square                ,777,Vauxhall                      ,3,162
24830,694,Russell Square                ,741,Victoria                      ,101,314
24831,694,Russell Square                ,742,Walthamstow Central           ,0,61
24832,694,Russell Square                ,743,Wanstead                      ,0,25
24833,694,Russell Square                ,745,Warren Street                 ,0,6
24835,694,Russell Square                ,747,Waterloo                      ,30,116
24836,694,Russell Square                ,751,Wembley Central               ,0,30
24837,694,Russell Square                ,752,Wembley Park                  ,0,15
24838,694,Russell Square                ,756,West Finchley                 ,0,1
24839,694,Russell Square                ,759,West Harrow                   ,0,3
24840,694,Russell Square                ,760,West Kensington               ,0,6
24842,694,Russell Square                ,761,Westminster                   ,42,0
24843,694,Russell Square                ,764,White City                    ,0,9
24844,694,Russell Square                ,763,Whitechapel                   ,6,16
24845,694,Russell Square                ,765,Willesden Green               ,0,29
24846,694,Russell Square                ,766,Willesden Junction            ,0,4
24847,694,Russell Square                ,767,Wimbledon                     ,0,6
24848,694,Russell Square                ,768,Wimbledon Park                ,0,2
24849,694,Russell Square                ,770,Wood Green                    ,37,124
24850,694,Russell Square                ,769,Woodford                      ,0,4
24853,698,Seven Sisters                 ,502,Aldgate                       ,71,0
24854,698,Seven Sisters                 ,503,Aldgate East                  ,119,0
